,Type,Indicator,Weight,Question
0,YR,Y,1,Do you often involved in group shenanigans?
1,SM,S,2,Do you feel unsafe when a muslim carries the oddly large and suspiciously shape backpack in the public near you?
2,SM,S,2,Do you agree on conspiracy theory of the Jews own all of the world system?
3,SM,S,2,Do you think there are certain group of race that could allow you to not lock the door if they are not exist on the world?
4,SM,S,2,How hard your colonizer accent goes when you say racial slur to your boys?
5,SM,S,2,"Do you have an uncontrollable urge to recite John Cena's bing chillin' speech when a chinese walks by in a really communist manner?"
6,SM,M,1,Have you ever been rejected from an art related school
7,SM,M,1,Do you think there are inferior race in our society that you want to take an advantage of them if given an opportunity?
8,SM,M,3,Do you think your race is superior than other races and there should only be your race in god image creation?
9,SM,M,4,How likely are you to wipe out specific race if given an opportunity?
10,PC,C,1,Do you beat up your homies regularly?
11,PC,C,1,Do you often commented on an instagram reels
12,PC,P,1,"Does your homies target you for no reason? Everything is your fault, even though you ain't even involved"
13,GK,G,4,"Do you remember when you and your friends had a ""sperm war"" after lunch in middle school and came back to class all creamy?"
14,GK,G,1,"Fellas, is it gay to like women? I mean you literally like somebody who likes Dicks."
15,GK,G,2,"Do you often fantasize about how loud, bouncy and juicy your homies' ass would sound if you slap it?"
16,GK,G,1,"FELLAS, IS IT GAY.. TO MASTURBATE!?!? I mean you're literally TOUCHING a DICK."
17,GK,G,1,Do you slap your homies' Eczema Calloused Shlong to send signal to the aliens when rent's due to seek supports?
18,GK,K,3,Could you imagine yourself pay a fortune to an artist to animate your favorite character from the show molesting you?
19,GK,K,2,"Do you scream ""harder daddy"" when getting choked?"
20,GK,K,2,Are you one of those -philia or -lism fetish?
21,GK,K,4,Do you think your sexual fantasy are much worse than a League of Legends balancing team who jerked off to the spreadsheet of Champions' winrate duct taped to their walls
22,ZV,Z,3,Have you ever railed a person in cardio activity related so hard that it feel like they would tweet about how amazing it was?
23,ZV,Z,2,Have you ever feel like you got a lot of friends or talkers on your sexual preference?
24,ZV,V,4,Would you tell an ENTIRE WARHAMMER 40K LORE to your date?
